Season,Zone,LC_Class,Mean_NSSR,StdDev_NSSR,Pixel_Count
Winter,Core,All,321.62451171875,14.544587135314941,482394
Winter,Core,Forest,321.7945556640625,12.587858200073242,96206
Winter,Core,Shrubland,292.82379150390625,4.091677188873291,4
Winter,Core,Grassland,300.63775634765625,16.389036178588867,3098
Winter,Core,Cropland,305.18597412109375,12.702747344970703,13833
Winter,Core,Buildings,322.275146484375,14.429768562316895,364114
Winter,Core,Bareland,303.8438720703125,25.69062614440918,944
Winter,Core,SnowIce,,,0
Winter,Core,Water,334.981201171875,15.376853942871094,4192
Winter,Suburb,All,313.6650695800781,14.695918083190918,361795
Winter,Suburb,Forest,317.2582092285156,12.706600189208984,121593
Winter,Suburb,Shrubland,317.4399108886719,19.045650482177734,5
Winter,Suburb,Grassland,303.7705078125,14.293704986572266,13617
Winter,Suburb,Cropland,304.5624084472656,10.581459045410156,50644
Winter,Suburb,Buildings,314.0168762207031,15.06511402130127,167956
Winter,Suburb,Bareland,305.2048034667969,19.065994262695312,2848
Winter,Suburb,SnowIce,,,0
Winter,Suburb,Water,337.8918762207031,10.607854843139648,5078
Spring,Core,All,468.56732177734375,12.90290355682373,482396
Spring,Core,Forest,469.8497619628906,11.341971397399902,96207
Spring,Core,Shrubland,439.08758544921875,2.6109116077423096,4
Spring,Core,Grassland,446.0223388671875,12.884566307067871,3098
Spring,Core,Cropland,448.8948974609375,9.961386680603027,13833
Spring,Core,Buildings,468.92926025390625,12.293190956115723,364115
Spring,Core,Bareland,449.332763671875,20.096769332885742,944
Spring,Core,SnowIce,,,0
Spring,Core,Water,493.6137390136719,11.1657133102417,4192
Spring,Suburb,All,460.6641845703125,15.471850395202637,361798
Spring,Suburb,Forest,468.5329895019531,15.326449394226074,121595
Spring,Suburb,Shrubland,453.6499938964844,10.194235801696777,5
Spring,Suburb,Grassland,448.413818359375,13.3500337600708,13617
Spring,Suburb,Cropland,449.1254577636719,9.703292846679688,50644
Spring,Suburb,Buildings,458.63385009765625,12.452000617980957,167957
Spring,Suburb,Bareland,449.0016174316406,15.662520408630371,2848
Spring,Suburb,SnowIce,,,0
Spring,Suburb,Water,493.619140625,15.098983764648438,5078
Summer,Core,All,567.3161010742188,25.266788482666016,482394
Summer,Core,Forest,568.58251953125,20.677871704101562,96206
Summer,Core,Shrubland,537.5870361328125,12.590507507324219,4
Summer,Core,Grassland,542.6594848632812,24.493059158325195,3098
Summer,Core,Cropland,542.5107421875,20.146690368652344,13833
Summer,Core,Buildings,567.5789184570312,25.192237854003906,364114
Summer,Core,Bareland,535.3159790039062,43.450279235839844,944
Summer,Core,SnowIce,,,0
Summer,Core,Water,622.7129516601562,22.23208999633789,4192
Summer,Suburb,All,553.4561157226562,28.015764236450195,361795
Summer,Suburb,Forest,549.7804565429688,23.30138397216797,121594
Summer,Suburb,Shrubland,561.5501708984375,23.482505798339844,5
Summer,Suburb,Grassland,554.2092895507812,25.30314064025879,13617
Summer,Suburb,Cropland,550.4324951171875,26.96118927001953,50643
Summer,Suburb,Buildings,554.77587890625,28.448993682861328,167956
Summer,Suburb,Bareland,552.516357421875,36.65439224243164,2848
Summer,Suburb,SnowIce,,,0
Summer,Suburb,Water,626.0870361328125,25.57671356201172,5078
Autumn,Core,All,335.4535217285156,15.801450729370117,482386
Autumn,Core,Forest,335.5391540527344,13.443687438964844,96208
Autumn,Core,Shrubland,304.7496337890625,11.232026100158691,4
Autumn,Core,Grassland,314.7951965332031,16.86807632446289,3098
Autumn,Core,Cropland,318.8867492675781,13.803230285644531,13834
Autumn,Core,Buildings,336.0137634277344,15.78772258758545,364103
Autumn,Core,Bareland,318.78265380859375,26.262659072875977,944
Autumn,Core,SnowIce,,,0
Autumn,Core,Water,358.5266418457031,9.772428512573242,4192
Autumn,Suburb,All,327.2643127441406,16.594602584838867,361790
Autumn,Suburb,Forest,330.7760009765625,13.847051620483398,121592
Autumn,Suburb,Shrubland,332.5821838378906,21.866865158081055,5
Autumn,Suburb,Grassland,318.38140869140625,16.758581161499023,13617
Autumn,Suburb,Cropland,318.4725341796875,12.83222770690918,50643
Autumn,Suburb,Buildings,327.2395324707031,17.19095230102539,167953
Autumn,Suburb,Bareland,318.5563049316406,23.44089126586914,2848
Autumn,Suburb,SnowIce,,,0
Autumn,Suburb,Water,360.1125793457031,11.848028182983398,5078
