Season,LC_Class,NSSR_Sum,NSSR_Share,Pixel_Share
Autumn,Forest,105415628.5,0.26415276709409713,0.2636498227134178
Autumn,Shrubland,4776.6082763671875,1.1969328566180851e-05,1.2441163663507993e-05
Autumn,Grassland,8813268.058776855,0.022084478155607906,0.02301615277748979
Autumn,Cropland,30899890.946502686,0.07742961658123135,0.08050677006656022
Autumn,Buildings,245431209.90527344,0.6150068462356144,0.612624463474817
Autumn,Bareland,1966156.6705322266,0.0049268380073416215,0.005112488854790885
Autumn,SnowIce,,,0.0
Autumn,Water,6539764.876922607,0.01638748459754138,0.015077860949260788
Spring,Forest,148551420.32705688,0.26552124415145745,0.26364728149171685
Spring,Shrubland,6683.2049560546875,1.1945580129385118e-05,1.2440926334786987e-05
Spring,Grassland,12442131.019592285,0.022239101456883646,0.023015713719355926
Spring,Cropland,43585792.94586182,0.07790537407743096,0.0805052343124066
Spring,Buildings,343092681.49243164,0.6132448646304709,0.6126293648990045
Spring,Bareland,2768674.1810302734,0.004948736347176335,0.005112391328508465
Spring,SnowIce,,,0.0
Spring,Water,9023557.852233887,0.016128733756451345,0.015077573322672842
Summer,Forest,177469673.17578125,0.26249511591690683,0.26364732676782004
Summer,Shrubland,8173.012390136719,1.2088689838371927e-05,1.2440967608696734e-05
Summer,Grassland,15286474.685668945,0.02261020078963622,0.02301579007608896
Summer,Cropland,53119271.50268555,0.07856863136671355,0.08050550139587656
Summer,Buildings,415518471.14959717,0.614592720537641,0.6126289091593721
Summer,Bareland,3371671.1303710938,0.004987033493456775,0.005112408289333778
Summer,SnowIce,,,0.0
Summer,Water,11313790.0803833,0.016734209205807263,0.015077623343899862
Winter,Forest,101117624.29650879,0.2643052552817792,0.26364732676782004
Winter,Shrubland,4566.080017089844,1.1935000974856067e-05,1.2440967608696734e-05
Winter,Grassland,8412126.091003418,0.02198794868267033,0.02301579007608896
Winter,Cropland,29566589.067993164,0.0772823226988849,0.08050550139587656
Winter,Buildings,235471332.03378296,0.6154843031342696,0.6126289091593721
Winter,Bareland,1879894.1541748047,0.0049137418702097715,0.005112408289333778
Winter,SnowIce,,,0.0
Winter,Water,6126807.87689209,0.016014493331211396,0.015077623343899862
