Season,Feature,MeanAbsSHAP
Spring,SVF,4.510219
Spring,MBH,1.1517018
Spring,BSA,0.8269124
Spring,FAR,0.80323714
Spring,SCD,0.6624831
Spring,BSI,0.5192399
Spring,MBV,0.45708597
Spring,BU,0.25407526
Summer,SVF,6.4163933
Summer,FAR,2.7136467
Summer,BSA,1.9867876
Summer,MBH,1.9512092
Summer,SCD,1.453403
Summer,BSI,1.0372001
Summer,MBV,0.89429337
Summer,BU,0.46739706
Autumn,SVF,5.341948
Autumn,FAR,1.8917998
Autumn,BSA,1.4184768
Autumn,MBH,1.3231059
Autumn,SCD,0.9157265
Autumn,BSI,0.66410506
Autumn,MBV,0.58056825
Autumn,BU,0.23762071
Winter,SVF,4.7180357
Winter,FAR,1.5559771
Winter,MBH,1.2153677
Winter,BSA,1.1697507
Winter,SCD,0.8548219
Winter,BSI,0.6484435
Winter,MBV,0.5360068
Winter,BU,0.2196983
